"Year","Quarter","Origin","Commodity","Tons"
2000,1,"CALIFORNIA","Strawberries",64945.38
2000,1,"FLORIDA","Strawberries",61439.592
2000,1,"MEXICO-ARIZONA","Strawberries",86.251
2000,1,"MEXICO-CALIFORNIA","Strawberries",14524.44
2000,1,"MEXICO-TEXAS","Strawberries",2186.54
2000,1,"MEXICO-TOTAL","Strawberries",16797.231
2000,2,"CALIFORNIA","Strawberries",294886.326
2000,2,"FLORIDA","Strawberries",1585.8
2000,2,"MEXICO-CALIFORNIA","Strawberries",18587.4745
2000,2,"MEXICO-TEXAS","Strawberries",24.663
2000,2,"MEXICO-TOTAL","Strawberries",18612.1375
2000,2,"SOUTHEAST","Strawberries",865.112
2000,3,"CALIFORNIA","Strawberries",147409.566
2000,3,"MEXICO-CALIFORNIA","Strawberries",659.3095
2000,3,"MEXICO-TEXAS","Strawberries",38.919
2000,3,"MEXICO-TOTAL","Strawberries",698.2285
2000,4,"CALIFORNIA","Strawberries",23533.686
2000,4,"FLORIDA","Strawberries",6667.2
2000,4,"MEXICO-ARIZONA","Strawberries",37.087
2000,4,"MEXICO-CALIFORNIA","Strawberries",132.988
2000,4,"MEXICO-TEXAS","Strawberries",1025.2285
2000,4,"MEXICO-TOTAL","Strawberries",1195.3035
2001,1,"CALIFORNIA","Strawberries",49234.878
2001,1,"FLORIDA","Strawberries",47439.6
2001,1,"MEXICO-ARIZONA","Strawberries",80.412
2001,1,"MEXICO-CALIFORNIA","Strawberries",12478.301
2001,1,"MEXICO-TEXAS","Strawberries",2202.1375
2001,1,"MEXICO-TOTAL","Strawberries",14760.8505
2001,2,"CALIFORNIA","Strawberries",296973.498
2001,2,"FLORIDA","Strawberries",786
2001,2,"MEXICO-ARIZONA","Strawberries",10.877
2001,2,"MEXICO-CALIFORNIA","Strawberries",15101.195
2001,2,"MEXICO-TEXAS","Strawberries",289.9815
2001,2,"MEXICO-TOTAL","Strawberries",15402.0535
2001,2,"SOUTHEAST","Strawberries",846.946
2001,3,"CALIFORNIA","Strawberries",125226.84
2001,3,"MEXICO-CALIFORNIA","Strawberries",1395.0065
2001,3,"MEXICO-TEXAS","Strawberries",25.98
2001,3,"MEXICO-TOTAL","Strawberries",1420.9865
2001,4,"CALIFORNIA","Strawberries",33274.446
2001,4,"FLORIDA","Strawberries",11718
2001,4,"MEXICO-ARIZONA","Strawberries",166.424
2001,4,"MEXICO-CALIFORNIA","Strawberries",451.4015
2001,4,"MEXICO-TEXAS","Strawberries",1557.8565
2001,4,"MEXICO-TOTAL","Strawberries",2175.682
2002,1,"CALIFORNIA","Strawberries",62210.778
2002,1,"FLORIDA","Strawberries",44763.6
2002,1,"MEXICO-ARIZONA","Strawberries",804.403
2002,1,"MEXICO-CALIFORNIA","Strawberries",14939.9095
2002,1,"MEXICO-TEXAS","Strawberries",3028.969
2002,1,"MEXICO-TOTAL","Strawberries",18773.2815
2002,2,"CALIFORNIA","Strawberries",345087.66
2002,2,"FLORIDA","Strawberries",822
2002,2,"MEXICO-ARIZONA","Strawberries",401.597
2002,2,"MEXICO-CALIFORNIA","Strawberries",21279.4455
2002,2,"MEXICO-TEXAS","Strawberries",330.825
2002,2,"MEXICO-TOTAL","Strawberries",22011.8675
2002,2,"SOUTHEAST","Strawberries",699.81
2002,3,"CALIFORNIA","Strawberries",158550.2715
2002,3,"MEXICO-CALIFORNIA","Strawberries",822.5095
2002,3,"MEXICO-TEXAS","Strawberries",21.0825
2002,3,"MEXICO-TOTAL","Strawberries",843.592
2002,4,"CALIFORNIA","Strawberries",40792.026
2002,4,"FLORIDA","Strawberries",3947.8
2002,4,"MEXICO-ARIZONA","Strawberries",174.2205
2002,4,"MEXICO-CALIFORNIA","Strawberries",947.886
2002,4,"MEXICO-TEXAS","Strawberries",747.44
2002,4,"MEXICO-TOTAL","Strawberries",1869.5465
2003,1,"CALIFORNIA","Strawberries",113621.97
2003,1,"FLORIDA","Strawberries",35512.672
2003,1,"MEXICO-ARIZONA","Strawberries",669.885
2003,1,"MEXICO-CALIFORNIA","Strawberries",17111.6985
