Year,Quarter,Origin,Commodity,Tons
2000,1,ARIZONA,ORIGIN TOTAL,710327.3825
2000,1,ARIZONA,"Lettuce, Iceberg",318114.775
2000,1,ARIZONA,"Lettuce, Processed",186424
2000,1,ARIZONA,"Lettuce, Romaine",82483.894
2000,1,ARIZONA,Broccoli,36366.5405
2000,1,ARIZONA,"Lettuce, Green Leaf",31149.416
2000,1,ARIZONA,Cauliflower,24836.275
2000,1,ARIZONA,Celery,6997.05
2000,1,ARIZONA,Spinach,5784.3
2000,1,ARIZONA,Greens,3597.917
2000,1,ARIZONA,"Lettuce, Boston",3192.36
2000,1,ARIZONA,Cabbage,2940.275
2000,1,ARIZONA,Chinese Cabbage,2230.4525
2000,1,ARIZONA,Bok Choy,1978.7675
2000,1,ARIZONA,Endive,1095.2205
2000,1,ARIZONA,Escarole,886.8715
2000,1,ARIZONA,"Greens, Kale",616.4625
2000,1,ARIZONA,"Greens, Swiss Chard",475.175
2000,1,ARIZONA,Parsley,276.2025
2000,1,ARIZONA,Anise,213.64
2000,1,ARIZONA,"Lettuce, Other",176.92
2000,1,ARIZONA,Vegetables Other,168.04
2000,1,ARIZONA,"Onions, Green",145.637
2000,1,ARIZONA,"Greens, Kohlrabi",60.1375
2000,1,ARIZONA,"Greens, Dandelion",54.8375
2000,1,ARIZONA,"Lettuce, Frisee",20.2
2000,1,ARIZONA,Cilantro,14.67
2000,1,ARIZONA,Radicchio,13.524
2000,1,ARIZONA,Dill,13.498
2000,1,ARIZONA,Miscellaneous Herbs,0.324
2000,1,CALIFORNIA,ORIGIN TOTAL,866131.4055
2000,1,CALIFORNIA,Celery,157299.66
2000,1,CALIFORNIA,"Lettuce, Iceberg",132766.2
2000,1,CALIFORNIA,Carrots,115216.86
2000,1,CALIFORNIA,Potatoes,68085.7
2000,1,CALIFORNIA,Strawberries,64945.38
2000,1,CALIFORNIA,Broccoli,64768.7505
2000,1,CALIFORNIA,"Lettuce, Processed",50699.262
2000,1,CALIFORNIA,Avocados,43078.074
2000,1,CALIFORNIA,"Lettuce, Romaine",39011.44
2000,1,CALIFORNIA,Cauliflower,29728.9625
2000,1,CALIFORNIA,Asparagus,25257.735
2000,1,CALIFORNIA,Apples,21406.1
2000,1,CALIFORNIA,"Lettuce, Other",19032.11
2000,1,CALIFORNIA,Artichokes,9740.562
2000,1,CALIFORNIA,Kiwifruit,8161.167
2000,1,CALIFORNIA,Cabbage,6582.75
2000,1,CALIFORNIA,Grapes,5965.302
2000,1,CALIFORNIA,Spinach,1996.9
2000,1,CALIFORNIA,Apple Pears,714.461
2000,1,CALIFORNIA,"Lettuce, Green Leaf",650.07
2000,1,CALIFORNIA,Pears,578.718
2000,1,CALIFORNIA,Raspberries,194.5675
2000,1,CALIFORNIA,Pomegranates,181.06
2000,1,CALIFORNIA,"Lettuce, Red Leaf",47.68
2000,1,CALIFORNIA,Persimmons,21.934
2000,1,CANADA,ORIGIN TOTAL,75442.5875
2000,1,CANADA,Potatoes,72950.3385
2000,1,CANADA,"Onions, Dry",2492.249
2000,1,COLORADO,ORIGIN TOTAL,305758.85
2000,1,COLORADO,Potatoes,284393.85
2000,1,COLORADO,"Onions, Dry",21365
2000,1,FLORIDA,ORIGIN TOTAL,991368.742
2000,1,FLORIDA,Tomatoes,245285.35
2000,1,FLORIDA,Grapefruit,99620.92
2000,1,FLORIDA,"Peppers, Bell Type",92731.8715
2000,1,FLORIDA,Cabbage,75410.215
2000,1,FLORIDA,"Corn, Sweet",71314.884
2000,1,FLORIDA,Oranges,69467.747
2000,1,FLORIDA,Strawberries,61439.592
2000,1,FLORIDA,Potatoes,55620
