"year","state","state_ansi","price_overall","price_fresh","price_processing","production_dollars_total","production_cwt_total","production_dollars_fresh","production_dollars_processing","production_cwt_utilized","production_cwt_processing","production_cwt_fresh","production_cwt_fresh_inferred","production_cwt_processing_inferred","production_cwt_total_inferred"
1998,"ARKANSAS","05",65,65,NA,520000,8000,520000,NA,NA,NA,8000,8000,NA,8000
1998,"CALIFORNIA","06",55.8,68.7,29.7,756848000,13552000,624208000,132640000,NA,4466000,9086000,9085997.08879185,4465993.26599327,13563584.2293907
1998,"FLORIDA","12",100,100,NA,161200000,1612000,161200000,NA,NA,NA,1612000,1612000,NA,1612000
1998,"LOUISIANA","22",70,70,NA,4200000,60000,4200000,NA,NA,NA,60000,60000,NA,60000
1998,"MICHIGAN","26",74.6,79,47,7089000,95000,6478000,611000,NA,13000,82000,82000,13000,95026.8096514745
1998,"NEW JERSEY","34",44.2,44.2,NA,884000,20000,884000,NA,NA,NA,20000,20000,NA,20000
1998,"NEW YORK","36",115,115,NA,7015000,61000,7015000,NA,NA,NA,61000,61000,NA,61000
1998,"NORTH CAROLINA","37",75,75,NA,1.5e+07,2e+05,1.5e+07,NA,NA,NA,2e+05,2e+05,NA,2e+05
1998,"OHIO","39",100,100,NA,3600000,36000,3600000,NA,NA,NA,36000,36000,NA,36000
1998,"OREGON","41",51,70,50,25820000,506000,1820000,2.4e+07,NA,480000,26000,26000,480000,506274.509803922
1998,"PENNSYLVANIA","42",109,109,NA,5450000,50000,5450000,NA,NA,NA,50000,50000,NA,50000
1998,"WASHINGTON","53",50.3,92,42,6040000,120000,1840000,4200000,NA,1e+05,20000,20000,1e+05,120079.522862823
1998,"WISCONSIN","55",108,108,NA,6588000,61000,6588000,NA,NA,NA,61000,61000,NA,61000
1999,"ARKANSAS","05",62,62,NA,682000,11000,682000,NA,NA,NA,11000,11000,NA,11000
1999,"CALIFORNIA","06",59.7,72.5,31.2,916856000,15351000,768718000,148138000,NA,4748000,10603000,10603006.8965517,4748012.82051282,15357721.9430486
